ID;VERSION;CODIGO;CST;DESCRICAO;TIPO_ALIQUOTA;NOMENCLATURA;DESCRICAO_TRATAMENTO_TRIBUTARIO;INCOMPATIVEL_COM_SUSPENSAO;EXIGE_GRUPO_DESONERACAO;POSSUI_PERCENTUAL_REDUCAO;IND_APROP_CREDITO_ADQUIRENTE_CBS;IND_APROP_CREDITO_ADQUIRENTE_IBS;IND_CREDITO_PRESUMIDO_FORNECEDOR;IND_CREDITO_PRESUMIDO_ADQUIRENTE;CREDITO_OPERACAO_ANTECEDENTE;PCT_REDUCAO_CBS;PCT_REDUCAO_IBS_UF;PCT_REDUCAO_IBS_MUN;APLICAVEL_NFE;SIGLAS_DFE;DATA_ATUALIZACAO
17b8812d-0dfb-45ba-92d7-029f2bb5ac12;1;1;0;Situações tributadas integralmente pelo IBS e CBS.;Padrão;NBS ou NCM;Tributação integral;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe,NFCe,CTe,CTe OS,BPe,BPe TA,NF3e,NFSe,NFCom,NFAg,NFGas;2025-12-15
ca771512-c784-4f43-be4c-c2258880f27e;1;2;0;Exploração de via;Padrão;NBS;Tributação integral;false;false;false;true;true;false;false;Manutenção;0;0;0;false;NFSe Via,NFGas;2026-04-15
2e648616-3af4-4779-a965-ab7ed1a75f25;1;3;0;Regime automotivo - projetos incentivados (art. 311);Padrão;NCM;Tributação integral;false;false;false;true;true;true;false;Manutenção;0;0;0;true;NFe;2025-12-15
f67937f9-e381-4761-b06c-235ac92501d7;1;4;0;Regime automotivo - projetos incentivados (art. 312);Padrão;NCM;Tributação integral;false;false;false;true;true;true;false;Manutenção;0;0;0;true;NFe;2025-12-15
3894c8e3-42ce-4be4-866f-36d61e12e20e;1;5;0;Operação com EAC destinado à mistura com gasolina A, mas com saída do biocombustível com destinação diversa;Padrão;NCM;Tributação integral;false;false;false;true;true;false;false;Manutenção;0;0;0;true;NFe;2026-04-15
c8e84068-bc6f-4a7c-9318-d6005a1af353;1;10001;10;Operações do FGTS não realizadas pela Caixa Econômica Federal;Uniforme setorial;NBS;Tributação com alíquotas uniformes - operações do FGTS;false;false;false;true;true;false;false;Manutenção;0;0;0;false;NFSe,DERE;2026-01-23
ef468b65-4637-4667-a6da-3e3235ec9f49;1;10002;10;Operações do serviço financeiro;Uniforme setorial;NBS;Tributação com alíquotas uniformes - operações do setor financeiro;false;false;false;true;true;false;false;Manutenção;0;0;0;false;DERE,NFSe;2026-01-23
5886328a-f935-4e1b-a2dc-d229ffab451e;1;11001;11;Planos de assistência funerária.;Uniforme nacional (referência);NBS;Tributação com alíquotas uniformes reduzidas em 60%;false;false;true;true;true;false;false;Manutenção;60;60;60;false;DERE;2025-12-15
8dbdf6a6-20bd-41c2-b6a9-fa0513f177be;1;11002;11;Planos de assistência à saúde;Uniforme nacional (referência);NBS;Tributação com alíquotas uniformes reduzidas em 60%;false;false;true;true;true;false;false;Manutenção;60;60;60;false;DERE;2025-12-15
f57f31e8-669e-433b-825d-0f3b57d93ef0;1;11003;11;Intermediação de planos de assistência à saúde;Uniforme nacional (referência);NBS;Tributação com alíquotas uniformes reduzidas em 60%;false;false;true;true;true;false;false;Manutenção;60;60;60;false;NFSe;2026-04-15
010abe5d-3047-4612-9628-bff545415719;1;11004;11;Concursos e prognósticos;Uniforme nacional (referência);NBS;Tributação com alíquotas uniformes;false;false;true;true;true;false;false;Manutenção;0;0;0;false;DERE;2025-12-15
5e3fa77a-9632-462e-93d8-f0a227e68521;1;11005;11;Planos de assistência à saúde de animais domésticos;Uniforme nacional (referência);NBS;Tributação com alíquotas uniformes reduzidas em 30%;false;false;true;true;true;false;false;Manutenção;30;30;30;false;DERE;2025-12-15
f36e4096-cd9e-4b1c-be0b-908cf1dadd55;1;200001;200;Serviços de transporte de bens até as zonas de processamento de exportação e bens exportados a partir das zonas de processamento de exportação;Padrão;NBS ou NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;false;CTe,NFSe,CTe OS;2026-01-23
102d9be1-0cbb-4340-858d-29f6a97f831d;1;200002;200;Fornecimento ou importação para produtor rural não contribuinte ou TAC;Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe;2025-12-15
54c53ddd-3ca1-4a5f-8699-f887ed547b40;1;200003;200;Vendas de produtos destinados à alimentação humana (Anexo I);Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe;2025-12-15
8a343669-e860-4988-a2ca-aa6777d3f974;1;200004;200;Fornecimento de dispositivos médicos (Anexo XII);Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe,NFSe;2026-01-23
7326285d-f65d-4f52-8734-0b55900927cc;1;200005;200;Fornecimento de dispositivos médicos para órgãos da administração pública e entidades de saúde imunes (Anexo IV);Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFSe;2026-01-23
118123f5-005e-4d2f-9ead-b99e8f92ee43;1;200006;200;Situação de emergência de saúde pública reconhecida pelo Poder público;Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe,NFSe;2026-04-15
7c68f203-3fa5-4891-a46e-073923becfc4;1;200007;200;Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência (Anexo XIII);Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe,NFSe;2025-12-15
00f1658d-44de-4def-87e0-d6cd7a4b64cb;1;200008;200;Fornecimento dos dispositivos de acessibilidade próprios para pessoas com deficiência adquiridos por órgãos da administração pública (Anexo V);Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFSe;2025-12-15
e9ade06f-3ada-4a90-9639-f1593edef656;1;200009;200;Fornecimento dos medicamentos registrados na Anvisa;Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe;2026-01-23
f8fa6cde-24e3-4d83-be82-d6ddd85575a3;1;200010;200;Fornecimento dos medicamentos registrados na Anvisa, adquiridos por órgãos da administração pública;Padrão;NCM;Alíquota zero;false;false;true;false;false;false;false;Manutenção;100;100;100;true;NFe,NFCe;2026-01-23
